AKT1
AKT2
AKT3
ALK
BRAF
CDK4
CDKN2A
DDR2
EGFR
ERBB2
FGFR1
FGFR3
GNA11
GNAQ
GNAS
HRAS
KDR
KIT
KRAS
MAP2K1
MET
NF1
NOTCH1
NRAS
NTRK2
NTRK3
PIK3CA
PIK3R1
PTEN
RAC1
RB1
RET
STK11
TP53
TSC1
TSC2
VHL
